41	M	yes	24	66	23	F	yes	16	60
24	M	yes	19	56	40	M	yes	10	78
36	M	no	4	19	29	M	yes	21	59
41	M	yes	27	79	33	M	yes	23	65
26	M	yes	18	83	39	M	yes	4	46
40	F	yes	27	82	43	M	no	16	42
29	M	yes	15	75	31	M	yes	18	65
40	M	yes	8	26	36	M	yes	27	70
34	M	yes	16	67	23	M	no	22	34
30	M	no	9	29	42	M	yes	7	32
38	F	no	10	64	44	F	no	9	27
31	F	yes	4	78	45	F	no	21	58
47	M	yes	20	60	39	M	yes	25	63
40	M	no	18	63	42	M	yes	8	67
24	F	yes	8	55	36	M	yes	26	70
26	M	yes	10	68	42	M	yes	12	67
42	M	no	6	32	40	M	yes	25	80
40	M	yes	14	70	33	F	no	23	41
24	M	no	13	29	25	F	yes	21	70
25	M	yes	17	68	27	M	yes	21	62
27	M	no	14	43	40	M	yes	7	22
39	F	yes	22	73	24	M	yes	16	59
42	M	no	19	40	46	M	yes	4	57
39	M	yes	20	83	43	M	no	22	42
43	M	yes	6	67	27	M	yes	9	62
34	M	yes	12	79	31	F	no	9	34
